Parameter;Gender;Lower_Limit;Upper_Limit;Unit;Low_Message;High_Message
Albümin, serum (kan);nan;3.May;4.May;g/dL;Albüminin azalması karaciğer veya böbrek rahatsızlıklarında görülebilir;Albüminin azalması dehidratasyon dediğimiz vücut sıvısının azaldığı su tüketim ihtiyacının arttığı durumlarda gözlenir.
Albümin, idrar;nan;0;25;mg/24hr;(-);Albumin normalde idrarda gözlenmez, gözlenmesi böbrek hasarını gösterebilir.
ALT Alanine Aminotransferaz;nan;10;40;U/L;(-);ALT karaciğerde bulunan bir enzimdir kanda artması karaciğer hasarını düşündürür.
ALT Alanine Aminotransferaz;nan;10;40;U/L;(-);AST karaciğerde kalpte ve kaslarda bulunan bir enzimdir artması bunlardan birinde hasarı düşündürür.
Total  Kolesterol;nan;0;200;mg/dL;(-);Artmış kolesterol kalp krizi açısından risk oluşturmaktadır.
HDL Kolesterol;Female;50;500;mg/dL;HDL'nin düşük olması kalp krizi açısından risk oluşturmaktadır;HDL'nin yüksek olması kalp rahatsızlıkları açısından koruyucudur.
HDL Kolesterol;Male;40;500;mg/dL;HDL'nin düşük olması kalp krizi açısından risk oluşturmaktadır;HDL'nin yüksek olması kalp rahatsızlıkları açısından koruyucudur.
LDL Kolesterol;nan;100;130;mg/dL;LDL'nin düşük olması kalp rahatsızlıkları açısından koruyucudur.;LDL'nin yüksek olması kalp krizi açısından risk oluşturmaktadır
Kreatinin;Female;0.5;1.Oca;mg/dL;(-);Yüksek kreatinin değerleri böbrek fonksiyonlarının azaldığı durumlarda gözlenir.
Kreatinin;Male;0.7;1.Mar;mg/dL;(-);Yüksek kreatinin değerleri böbrek fonksiyonlarının azaldığı durumlarda gözlenir.
Kalsiyum;nan;1.Ara;1.Oca;mmol/L;Kalsiyum düşüklüğü düşüklüğün ciddiyetine göre kas kasılmalarına, kramplara veya ishale sebep olabilir.;Kalsiyum yüksekliği yüksekliğin ciddiyetine göre  kabızlığa, karın ağrısına,kas güçsüzlüğüne, bilinç bulanıklığına sebep olabilir. Paratiroid bezinizin fazla çalışması sebebiyle olabilir.
Kalsiyum;nan;8.Haz;10.Şub;mg/dL;Kalsiyum düşüklüğü düşüklüğün ciddiyetine göre kas kasılmalarına, kramplara veya ishale sebep olabilir.;Kalsiyum yüksekliği yüksekliğin ciddiyetine göre  kabızlığa, karın ağrısına,kas güçsüzlüğüne, bilinç bulanıklığına sebep olabilir. Paratiroid bezinizin fazla çalışması sebebiyle olabilir.
CRP;nan;0;0.8;mg/dL;(-);CRP yüksekliği genelde infeksiyon varlığına işaret etse de kanserlerde ve kalp rahatsızlıklarında da artabilir.
